UserId,CodeId,Variant1,Variant2,Variant3,ArithExpr,LogicExprCount,LogicExprMax,LoopSingle,LoopNested,ArrayInt,String,FuncArgCount,LOC,LLOC,ExecutedLOC,DiffAvg,SubjDiffAvg,SubjDiffCorrectAvg,SubjDiffIncorrectAvg,DurationAvg,DurationCorrectAvg,DurationIncorrectAvg,ResultCorrect,ResultNA,SubjDiff,Duration,DurationSum,Gender,Pretest,Posttest,AbilityAvg,PriorExpHighSchool,PriorExpSmallProjects,PriorExpPublicProjects,ExpIndividual,ExpProfessional,ExpOther,ProgLangCount,DominantEyeLeft,DominantEyeRight,FixationCodeCount,FixationCodeDuration,FixationOtherDuration,SaccadeDuration,FixationCodeDurationAvg,FixationCodeDurationSD,AoiMainFixDurationRatio,AoiMainFixDurationAvg,AoiFuncFixDurationRatio,AoiFuncFixDurationAvg,MouseClickAccuracyAvg,MouseClickAccuracySD,MouseClickSpeedAvg,MouseClickSpeedSD,ReactionSpeedAvg,ReactionSpeedSD,MemorySearchSpeedSlopeAvg,MemorySearchSpeedSlopeSD,MouseTrailHitTimeAvg,MouseTrailHitTimeSD,MouseTrailTwoSlope,MemorySize,MemoryPeek
P002,1,1,0,0,2,0,0,0,0,0,0,2,11,5,7,0.802,0.31,0.301,0.348,43.195,41.678,49.332,1,0,0,23.9399593,23.9399593,1,2,18,0.405,1,0,0,0,0,0,4,0,1,48,15931.3,2000,3654.4,331.902,256.218,0.206,234.404,0.704,431.482,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,1,0,1,0,2,0,0,0,0,0,0,2,11,5,7,0.922,0.362,0.308,1,36.802,35.984,46.532,1,0,0,25.0557175,48.9956768,1,2,18,0.405,1,0,0,0,0,0,4,0,1,41,17633.8,2483.1,3533.1,430.093,346.387,0.152,268.385,0.82,535.814,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,1,0,0,1,2,0,0,0,0,0,0,2,11,5,7,0.853,0.224,0.222,0.235,26.882,26.26,30.507,1,0,0,13.2561459,62.2518227,1,2,18,0.405,1,0,0,0,0,0,4,0,1,22,9333.7,1633.9,1715.9,424.257,275.446,0.263,408.396,0.737,430.205,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,2,1,0,0,0,4,2,0,0,0,0,3,17,7,6,0.948,0.198,0.182,0.5,34.523,33.833,47.167,1,0,0,29.0080441,29.0080441,1,2,18,0.405,1,0,0,0,0,0,4,0,1,58,20840.8,1733.3,3950,359.324,297.089,0.191,234.566,0.798,426.577,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,2,0,1,0,0,4,2,0,0,0,0,3,17,7,7,0.914,0.224,0.198,0.5,23.047,22.449,29.38,1,0,0,44.0385483,73.0465924,1,2,18,0.405,1,0,0,0,0,0,4,0,1,96,32429.6,1750.7,6698.4,337.808,213.246,0.245,330.6,0.729,352.915,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,2,0,0,1,0,4,2,0,0,0,0,3,17,7,7,0.94,0.259,0.266,0.143,20.741,20.994,16.8,1,0,0,13.1041129,86.1507053,1,2,18,0.405,1,0,0,0,0,0,4,0,1,30,7768,1533.9,2299.6,258.934,151.033,0.369,286.743,0.631,245.03,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,3,1,0,0,1,0,0,0,0,0,0,3,18,5,9,0.922,0.534,0.477,1.222,49.113,48.148,60.586,1,0,0,34.9987994,34.9987994,1,2,18,0.405,1,0,0,0,0,0,4,0,1,64,26654.1,1451.2,4099.2,416.471,432.592,0.146,260.11,0.755,558.88,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,3,0,1,0,1,0,0,0,0,0,0,3,18,5,9,0.828,0.44,0.354,0.85,24.348,23.66,27.648,1,0,0,18.3780999,53.3768993,1,2,18,0.405,1,0,0,0,0,0,4,0,1,33,11987.1,1633.5,2898.5,363.245,259.17,0.23,305.727,0.59,441.797,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,3,0,0,1,1,0,0,0,0,0,0,3,18,5,9,0.922,0.552,0.505,1.111,29.531,29.015,35.665,1,0,0,29.4181766,82.7950759,1,2,18,0.405,1,0,0,0,0,0,4,0,1,56,18437.3,3267.5,3883,329.237,223.059,0.148,546.747,0.781,327.365,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,4,1,0,0,2,1,1,1,0,0,0,1,15,7,10,0.845,0.802,0.653,1.611,57.846,55.437,70.963,1,0,0,42.6093185,42.6093185,1,2,18,0.405,1,0,0,0,0,0,4,0,1,78,32921.9,1885,3417,422.075,448.363,0.095,311.648,0.88,459.863,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,4,0,1,0,2,1,1,1,0,0,0,1,15,7,13,0.543,0.776,0.476,1.132,36.127,33.796,38.897,0,0,0,24.4071974,67.0165159,1,2,18,0.405,1,0,0,0,0,0,4,0,1,42,16672.9,2183.3,3369.3,396.975,294.057,0.096,266.684,0.89,436.445,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,4,0,0,1,2,1,1,1,0,0,0,1,15,7,22,0.509,0.991,0.661,1.333,33.206,30.637,35.865,0,0,0,52.2315531,119.248069,1,2,18,0.405,1,0,0,0,0,0,4,0,1,89,37088.9,5332.9,7099.9,416.729,305.721,0.31,425.371,0.678,441.295,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,5,1,0,0,2,1,1,1,0,0,0,1,13,6,12,0.638,1.336,1.135,1.69,72.976,74.173,70.867,0,0,0,23.5778904,23.5778904,1,2,18,0.405,1,0,0,0,0,0,4,0,1,47,17052.9,1450.5,3165.5,362.827,325.073,0.184,313.337,0.776,413.632,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,5,0,1,0,2,1,1,1,0,0,0,1,13,6,12,0.353,1.259,1.024,1.387,40.104,43.153,38.437,1,0,0,33.5853729,57.1632633,1,2,18,0.405,1,0,0,0,0,0,4,0,1,63,23218.1,2467,6116.5,368.541,283.732,0.191,316.713,0.798,402.554,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,5,0,0,1,2,1,1,1,0,0,0,1,13,6,16,0.526,1.371,1.148,1.618,36.092,32.433,40.15,0,0,0,25.6321657,82.795429,1,2,18,0.405,1,0,0,0,0,0,4,0,1,45,15630.6,1183.4,3420,347.346,226.836,0.323,361.131,0.677,341.121,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
P002,6,1,0,0,2,2,1,1,0,0,0,2,14,6,9,0.267,1.207,1,1.282,60.908,67.465,58.517,0,0,0,49.7442635,49.7442635,1,2,18,0.405,1,0,0,0,0,0,4,0,1,92,37047.6,3168,6164.3,402.691,309.421,0.043,527.713,0.937,413.269,7.182,4.134,788.2,104.783,295.5,31.82,106.8,92.8,840.6,432.5,1.4,7.5,8
